repo,stars,secrets,defaults,armor,ai_risks,threat_level,scan_date
tiangolo/fastapi,95875,53,195,1,35,CRITICAL,2026-03-04
pallets/flask,71321,18,40,4,0,HIGH,2026-03-04
encode/django-rest-framework,29922,15,6,1,0,HIGH,2026-03-04
elder-plinius/OBLITERATUS,212,2,6,2,0,HIGH,2026-03-04
Avaiga/demo-chatbot,199,0,2,5,0,HIGH,2026-03-04
openclaw/openclaw,260084,2162,115,0,33,CRITICAL,2026-03-04
mckaywrigley/chatbot-ui,33064,10,0,4,0,HIGH,2026-03-04
Yidadaa/ChatGPT-Next-Web,87425,22,1,4,0,CRITICAL,2026-03-04
lobehub/lobe-chat,73055,243,66,0,5,CRITICAL,2026-03-04
vercel/ai-chatbot,19796,0,0,2,0,MEDIUM,2026-03-04
langgenius/dify,131198,666,87,0,8,CRITICAL,2026-03-04
FlowiseAI/Flowise,50055,23,10,1,48,HIGH,2026-03-04
BerriAI/litellm,37760,3479,1737,1,103,CRITICAL,2026-03-04
chatchat-space/Langchain-Chatchat,37393,22,29,1,14,CRITICAL,2026-03-04
tiangolo/full-stack-fastapi-template,41861,8,2,3,1,HIGH,2026-03-04
Blazity/next-enterprise,7348,0,0,5,0,MEDIUM,2026-03-04
ixartz/Next-js-Boilerplate,12690,1,0,4,0,HIGH,2026-03-04
saadpasta/developerFolio,6465,0,0,5,0,CRITICAL,2026-03-04
cruip/open-react-template,4597,0,0,5,0,MEDIUM,2026-03-04
all-in-aigc/sorafm,1124,0,1,5,0,CRITICAL,2026-03-04
miurla/morphic,8633,1,5,2,0,HIGH,2026-03-04
developersdigest/llm-answer-engine,5015,0,0,4,0,CRITICAL,2026-03-04
